name,year,km_driven,fuel,seller_type,transmission,owner,Rating,ExShowroom Price,selling_price
Chevrolet Beat PS,2016,25000,Petrol,Individual,Manual,First Owner,13,410266,300000
Maruti Alto LXi,2011,37091,Petrol,Individual,Manual,First Owner,15,410505,225000
Hyundai Santro Xing XL eRLX Euro III,2005,90000,Petrol,Dealer,Manual,Second Owner,11,410521,114999
Volkswagen Jetta 2.0 TDI Trendline,2011,180000,Diesel,Individual,Manual,Second Owner,11,410576,270000
Toyota Etios Liva GD,2012,56000,Diesel,Individual,Manual,First Owner,10,410671,409999
Tata Manza Aura Safire,2010,50000,Petrol,Individual,Manual,First Owner,14,410934,200000
Renault KWID RXL BSIV,2017,18500,Petrol,Dealer,Manual,First Owner,14,411225,325000
Maruti Ritz LDi,2011,80000,Diesel,Individual,Manual,First Owner,14,411374,250000
Maruti Wagon R VXI Optional,2015,60000,Petrol,Individual,Manual,Second Owner,13,411532,275000
Maruti Eeco 7 Seater Standard BSIV,2014,39093,Petrol,Dealer,Manual,First Owner,13,411860,325000
Tata Indigo LS,2008,90000,Diesel,Individual,Manual,First Owner,9,411931,105000
Maruti Alto LX BSIII,2008,90000,Petrol,Individual,Manual,Second Owner,14,411999,110000
Maruti SX4 Vxi BSIII,2007,90000,Petrol,Individual,Manual,Second Owner,10,412120,100000
Maruti SX4 ZDI,2011,90000,Diesel,Individual,Manual,Third Owner,10.34,412129,220000
Maruti Zen Estilo LXI BSIII,2008,40000,Petrol,Individual,Manual,First Owner,12,412297,105000
Honda Amaze E i-VTEC,2016,50000,Petrol,Individual,Manual,Second Owner,13,412498,330000
Hyundai i20 1.2 Magna,2010,96000,Petrol,Individual,Manual,Third Owner,11,412594,220000
Ford Fiesta 1.5 TDCi Titanium,2012,92000,Diesel,Dealer,Manual,Third Owner,11.51,412731,199000
Skoda Superb 1.8 TFSI MT,2010,80000,Petrol,Individual,Manual,First Owner,11,412901,300000
Maruti Swift Ldi BSIII,2008,120000,Diesel,Individual,Manual,First Owner,12,412940,111000
Hyundai Getz 1.3 GLS,2008,110000,Petrol,Individual,Manual,Second Owner,15,412958,110000
Mahindra KUV 100 mFALCON G80 K8 5str,2016,60000,Petrol,Individual,Manual,First Owner,9,413031,370000
Hyundai EON Era Plus Option,2017,18469,Petrol,Trustmark Dealer,Manual,First Owner,14.69,413047,315000
Honda Mobilio V i DTEC,2014,150000,Diesel,Individual,Manual,First Owner,12,413306,300000
Maruti Zen VXI,2000,120000,Petrol,Individual,Manual,First Owner,12,413842,100000
Maruti Alto 800 Std Optional,2019,5000,Petrol,Individual,Manual,First Owner,9,413873,240000
Tata Indigo LS,2009,20000,Diesel,Individual,Manual,First Owner,9,414170,100000
Maruti Wagon R VXI BS IV,2014,30000,Petrol,Individual,Manual,First Owner,12,414906,275000
Hyundai EON Magna Plus,2016,80000,Petrol,Individual,Manual,First Owner,9.76,414975,229999
Datsun RediGO 1.0 S,2017,15000,Petrol,Dealer,Manual,Second Owner,11.39,415593,210000
Mahindra Scorpio LX BSIV,2012,150000,Diesel,Individual,Manual,First Owner,13.93,415595,349000
Hyundai i10 Magna 1.1 iTech SE,2015,48000,Petrol,Dealer,Manual,First Owner,10.66,415827,300000
Maruti SX4 ZXI AT,2009,120000,Petrol,Individual,Automatic,Second Owner,10,416099,130000
Hyundai Accent CRDi,2005,120000,Diesel,Individual,Manual,Second Owner,14,416234,100000
Nissan Sunny XL,2012,80000,Petrol,Individual,Manual,Second Owner,9.72,416309,300000
Maruti Alto 800 LX,2017,37000,Petrol,Individual,Manual,First Owner,13,416324,280000
Maruti Alto LXi BSIII,2010,73350,Petrol,Dealer,Manual,First Owner,14.34,416756,190000
Honda Amaze EX i-Dtech,2013,90000,Diesel,Individual,Manual,Second Owner,12,416929,350000
Renault KWID RXT,2015,20969,Petrol,Dealer,Manual,First Owner,12.18,416971,270000
Maruti Alto K10 VXI,2017,15000,Petrol,Individual,Manual,First Owner,10,417133,325000
Honda City 1.5 EXI,2005,120000,Petrol,Individual,Manual,Second Owner,14.04,417190,100000
Volkswagen Vento Diesel Highline,2011,120000,Diesel,Individual,Manual,Second Owner,13.83,417253,300000
Tata Indica DLE,2005,100000,Diesel,Individual,Manual,First Owner,15,417272,100000
Maruti Swift Dzire LDi,2010,110000,Diesel,Individual,Manual,Third Owner,11,417771,250000
Nissan Sunny Diesel XL,2012,110000,Diesel,Individual,Manual,First Owner,15,417778,300000
Hyundai Xcent 1.2 Kappa S,2016,96000,Petrol,Individual,Manual,First Owner,14,418326,300000
Tata Sumo GX TC 7 Str BSIII,2006,100000,Diesel,Individual,Manual,Second Owner,11,418424,115999
Hyundai i10 Sportz,2011,50000,Petrol,Individual,Manual,First Owner,15,418859,250000
Ford Figo Diesel Celebration Edition,2013,50000,Diesel,Individual,Manual,First Owner,13,419346,300000
Renault KWID 1.0 RXT Optional,2016,20000,Petrol,Individual,Manual,First Owner,11,419720,350000
Hyundai EON Magna Plus,2018,31000,Petrol,Individual,Manual,First Owner,11.1,419910,300000
Maruti SX4 Vxi BSIV,2012,110000,Petrol,Individual,Manual,Second Owner,10,419984,225000
Hyundai EON Era Plus,2012,46000,Petrol,Individual,Manual,First Owner,13,420244,200000
Hyundai i10 Sportz 1.2 AT,2013,38000,Petrol,Dealer,Automatic,First Owner,13,420344,330000
Hyundai EON Era Plus,2016,24662,Petrol,Dealer,Manual,First Owner,14.64,420603,320000
Tata Zest Revotron 1.2T XE,2015,60000,Petrol,Individual,Manual,Second Owner,9.77,420769,300000
Maruti 800 AC BSIII,2005,30000,Petrol,Individual,Manual,First Owner,9.61,420915,100000
Maruti Alto K10 VXI,2016,40000,Petrol,Individual,Manual,First Owner,14.5,420920,350000
Maruti Swift Dzire VDI,2013,90010,Diesel,Dealer,Manual,Second Owner,12,421002,360000
Maruti Swift Dzire VDI,2014,60000,Diesel,Individual,Manual,Second Owner,10.28,421292,390000
Maruti Zen Estilo LXI BS IV,2011,70000,Petrol,Individual,Manual,First Owner,13.2,421362,229999
Renault KWID RXE,2018,5550,Petrol,Individual,Manual,Second Owner,11.61,421417,245000
Maruti 800 AC BSIII,2005,30000,Petrol,Individual,Manual,First Owner,9.9,421574,100000
Renault KWID RXT,2015,50000,Petrol,Individual,Manual,First Owner,12.88,421716,250000
Maruti SX4 VDI,2011,90000,Diesel,Individual,Manual,Third Owner,11.33,421975,260000
Volkswagen Polo Diesel Comfortline 1.2L,2012,120000,Diesel,Individual,Manual,First Owner,9.82,421987,225000
Datsun GO T BSIV,2014,40000,Petrol,Individual,Manual,First Owner,9,422189,280000
Maruti Alto 800 LXI,2015,30000,Petrol,Individual,Manual,Second Owner,15,422214,310000
Tata Bolt Quadrajet XE,2016,120000,Diesel,Individual,Manual,First Owner,12,422218,250000
Hyundai Getz 1.5 CRDi GVS,2008,154000,Diesel,Individual,Manual,Third Owner,14.43,422661,110000
Nissan Sunny XL,2012,110000,Petrol,Individual,Manual,Second Owner,14,423379,290000
Hyundai i10 Magna,2014,39227,Petrol,Dealer,Manual,First Owner,13.19,423699,355000
Tata Indica Vista Aqua 1.4 TDI,2008,90000,Diesel,Individual,Manual,Third Owner,13.04,424027,110000
Maruti Swift LXi BSIV,2009,83000,Petrol,Individual,Manual,Second Owner,13.37,424036,120000
Honda City 1.5 S MT,2011,110000,Petrol,Individual,Manual,First Owner,13,424359,310000
Maruti Wagon R LXI Minor,2007,49000,Petrol,Dealer,Manual,First Owner,11,424489,140000
Maruti Wagon R VXI,2005,100000,Petrol,Individual,Manual,Third Owner,12.41,424521,100000
Maruti Alto K10 VXI Optional,2014,64000,Petrol,Dealer,Manual,Second Owner,9,424578,285000
Datsun RediGO S,2016,22000,Petrol,Individual,Manual,First Owner,12,424841,270000
Hyundai EON 1.0 Era Plus,2017,28838,Petrol,Individual,Manual,First Owner,11,425011,280000
Renault KWID 1.0 RXT Optional,2017,60000,Petrol,Individual,Manual,First Owner,9,425350,400000
Maruti Wagon R VXI BS IV,2014,80000,Petrol,Individual,Manual,Second Owner,13,425390,290000
Maruti Swift 1.3 DLX,2015,40000,Diesel,Individual,Manual,Second Owner,11.31,425525,270000
Maruti Alto K10 LX,2020,1100,Petrol,Individual,Manual,Fourth & Above Owner,11,425719,250000
Maruti Alto K10 VXI AGS,2015,4432,Petrol,Dealer,Automatic,Second Owner,15,425823,281000
Hyundai i10 Magna,2012,49824,Petrol,Dealer,Manual,First Owner,14.36,425893,229999
Ford Fiesta 1.4 ZXi Leather,2007,170000,Petrol,Individual,Manual,First Owner,10.69,426081,100000
Maruti Alto LXi BSII,2002,80000,Petrol,Individual,Manual,Fourth & Above Owner,10,426091,100000
Tata Zest Quadrajet 1.3,2016,70000,Diesel,Individual,Manual,First Owner,12,426218,250000
Honda Amaze S i-Dtech,2013,127884,Diesel,Dealer,Manual,First Owner,12,426278,315000
Chevrolet Sail Hatchback 1.3 TCDi LT ABS,2014,120000,Diesel,Individual,Manual,First Owner,10,427073,250000
Maruti Alto LXi BSIII,2008,70000,Petrol,Individual,Manual,First Owner,13,427216,125000
Maruti Swift 1.3 VXi,2005,80000,Petrol,Individual,Manual,First Owner,10,427324,110000
Hyundai i20 1.2 Asta,2011,72000,Petrol,Dealer,Manual,First Owner,9,427378,375000
Ford Fiesta Classic 1.4 SXI Duratorq,2006,120000,Diesel,Individual,Manual,Third Owner,13,427614,110000
Maruti Alto LX,2006,100000,Petrol,Individual,Manual,Third Owner,9.91,427885,105000
Maruti Omni E 8 Str STD,2007,90000,Petrol,Individual,Manual,Fourth & Above Owner,10,428100,110000
Ford Fiesta 1.4 ZXi TDCi ABS,2009,100000,Diesel,Individual,Manual,Fourth & Above Owner,15,428404,110000
Honda City E,2013,123084,Petrol,Dealer,Manual,First Owner,9.32,428634,380000
Honda Amaze S i-Dtech,2013,95851,Diesel,Dealer,Manual,First Owner,14,428842,310000
Maruti Swift Dzire 1.2 Vxi BSIV,2012,90000,Petrol,Individual,Manual,Second Owner,10.05,428861,368000
Tata Sumo SE Plus BSIII,2002,120000,Diesel,Individual,Manual,First Owner,11.68,428998,100000
Hyundai Santro Xing GLS,2012,45000,Petrol,Individual,Manual,Second Owner,12.29,429141,193000
Chevrolet Beat LT LPG,2011,110000,LPG,Individual,Manual,First Owner,11.26,429164,200000
Maruti Swift 1.2 DLX,2018,35000,Petrol,Individual,Manual,First Owner,9,429305,300000
Mahindra Verito Vibe 1.5 dCi D6,2015,40000,Diesel,Individual,Manual,First Owner,11.33,429347,280000
Maruti Gypsy King Hard Top,2000,60000,Petrol,Individual,Manual,Fourth & Above Owner,11,429594,165000
Skoda Fabia 1.2 MPI Ambition Plus,2012,50000,Petrol,Individual,Manual,First Owner,13.1,429655,300000
Tata Indigo Grand Petrol,2014,100000,Petrol,Individual,Manual,First Owner,10,429880,250000
Datsun GO Plus T Option,2017,80000,Petrol,Individual,Manual,First Owner,9,429973,350000
Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2018,28000,Petrol,Dealer,Manual,First Owner,15,430015,310000
Fiat Linea Dynamic,2013,70000,Petrol,Individual,Manual,First Owner,10.7,430116,350000
Maruti Wagon R VXI BS IV,2010,50000,Petrol,Individual,Manual,Second Owner,11,430360,240000
Tata New Safari DICOR 2.2 GX 4x2 BS IV,2012,80000,Diesel,Individual,Manual,First Owner,14,430437,320000
Hyundai i20 Magna,2010,90000,Petrol,Individual,Manual,Third Owner,14.02,430622,210000
Hyundai Verna CRDi,2008,70950,Diesel,Individual,Manual,Second Owner,10,430912,150000
Mahindra Quanto C6,2013,60000,Diesel,Individual,Manual,First Owner,9,430962,300000
Hyundai Santro Xing GL Plus LPG,2011,60000,LPG,Individual,Manual,Second Owner,12.2,431407,229999
Maruti Swift 1.2 DLX,2015,45000,Petrol,Individual,Manual,First Owner,12.79,431589,217000
Chevrolet Beat LS,2016,70000,Petrol,Individual,Manual,Third Owner,11,431608,250000
Maruti Alto 800 LXI,2013,42000,Petrol,Individual,Manual,Third Owner,15,431709,210000
Maruti Wagon R LXI Minor,2008,110000,Petrol,Individual,Manual,Third Owner,12,432055,120000
Tata Indigo GLS,2008,120000,Petrol,Individual,Manual,First Owner,15,432501,130000
Honda City S,2012,50000,Petrol,Individual,Manual,Second Owner,11,432507,320000
Hyundai Santro Xing GLS,2009,79000,Petrol,Individual,Manual,Third Owner,9.73,432709,150000
Chevrolet Spark 1.0,2009,70000,Petrol,Individual,Manual,First Owner,13.29,432760,125000
Honda Brio S MT,2013,57353,Petrol,Trustmark Dealer,Manual,First Owner,12.56,432797,295000
Hyundai EON D Lite,2016,30000,Petrol,Individual,Manual,First Owner,11.82,432825,210000
Maruti Alto LX,2004,70000,Petrol,Individual,Manual,First Owner,11,432881,100000
Renault KWID RXT Optional,2016,30000,Petrol,Individual,Manual,First Owner,15,432966,300000
Hyundai Getz GLX,2007,90000,Petrol,Individual,Manual,First Owner,9.93,432986,110000
Hyundai EON Magna Plus,2014,80000,Petrol,Individual,Manual,First Owner,9.29,432993,320000
Maruti Wagon R VXI Plus Optional,2017,19000,Petrol,Individual,Manual,First Owner,12,433414,380000
Ford Fiesta 1.6 Duratec S,2010,70000,Petrol,Individual,Manual,Second Owner,12,433477,300000
Hyundai Accent GLS,2007,76000,Petrol,Dealer,Manual,Third Owner,13,433502,125000
Maruti Wagon R VXI BS IV,2012,90000,Petrol,Individual,Manual,First Owner,14.23,433530,200000
Tata Tiago 1.2 Revotron XE,2016,30000,Petrol,Individual,Manual,First Owner,11.56,434111,300000
Hyundai EON Magna Optional,2015,20500,Petrol,Individual,Manual,First Owner,10,434321,300000
Ford Figo Diesel Celebration Edition,2013,90000,Diesel,Individual,Manual,Second Owner,11.91,434797,285000
Skoda Rapid 1.6 TDI Ambition,2013,120000,Diesel,Individual,Manual,Third Owner,12.12,434809,210000
Hyundai i10 Magna,2012,60000,Petrol,Individual,Manual,Second Owner,9,434846,250000
Maruti Alto 800 Base,2012,8000,Petrol,Individual,Manual,First Owner,9,435256,250000
Hyundai Xcent 1.1 CRDi S,2016,175000,Diesel,Individual,Manual,First Owner,11,435403,270000
Maruti SX4 Vxi BSIV,2010,70000,Petrol,Individual,Manual,First Owner,13,435439,250000
Maruti Swift VDI,2013,65000,Diesel,Dealer,Manual,First Owner,10.04,435453,365000
Maruti Alto K10 LXI CNG Optional,2016,50000,CNG,Individual,Manual,First Owner,9,435746,300000
Hyundai EON Magna Plus,2016,43700,Petrol,Individual,Manual,First Owner,11.94,435856,220000
Hyundai i10 Magna,2012,49824,Petrol,Dealer,Manual,First Owner,11.84,435908,229999
Maruti Wagon R VXI BS IV with ABS,2014,64000,Petrol,Individual,Manual,Second Owner,,436092,290000
Volkswagen Vento Diesel Comfortline,2012,97000,Diesel,Individual,Manual,First Owner,15,436118,215000
Hyundai Santro Xing XS,2008,90000,Petrol,Individual,Manual,Second Owner,11,436142,150000
Ford Figo Petrol Titanium,2015,50000,Petrol,Individual,Manual,Second Owner,13,436149,300000
Datsun RediGO T Option,2017,46000,Petrol,Individual,Manual,First Owner,11,436441,250000
Hyundai Santro Xing GLS,2008,100000,Petrol,Individual,Manual,First Owner,15,436442,130000
Maruti Alto K10 2010-2014 VXI,2011,40000,Petrol,Individual,Manual,First Owner,14,436922,200000
Hyundai Elantra CRDi (Leather Option),2006,120000,Diesel,Individual,Manual,Third Owner,13.64,437008,125000
Hyundai EON D Lite Plus,2015,30000,Petrol,Individual,Manual,First Owner,11.04,437034,250000
Ford Fiesta 1.6 Duratec EXI Ltd,2008,80000,Petrol,Individual,Manual,Second Owner,12,437047,120000
Maruti Alto LXi,2009,20000,Petrol,Individual,Manual,First Owner,9,437163,110000
Maruti Wagon R LX Minor,2013,38000,Petrol,Individual,Manual,First Owner,9,437645,250000
Honda City 1.5 EXI S,2004,100000,Petrol,Individual,Manual,Third Owner,15,437913,105000
Hyundai EON 1.0 Era Plus,2012,48000,Petrol,Dealer,Manual,First Owner,14,438036,225000
Skoda Laura Ambiente 2.0 TDI CR MT,2012,52000,Diesel,Dealer,Manual,First Owner,11,438126,385000
Maruti Swift VDI,2013,60000,Diesel,Individual,Manual,First Owner,13.14,438462,325000
Tata Bolt Revotron XE,2016,90000,Petrol,Individual,Manual,Second Owner,9.75,438575,300000
Hyundai Santro Xing GLS,2012,50000,Petrol,Individual,Manual,First Owner,15,438829,300000
Hyundai Accent GLS,2004,110000,Petrol,Individual,Manual,Second Owner,10.06,438917,120000
Hyundai i10 Sportz 1.2,2010,60000,Petrol,Individual,Manual,Second Owner,13.37,438968,210000
Mahindra Bolero SLX,2008,100000,Diesel,Individual,Manual,First Owner,9,438972,155000
Ford Figo 1.2P Ambiente MT,2015,45000,Petrol,Individual,Manual,First Owner,10.72,439078,229999
Chevrolet Spark 1.0,2008,100000,Petrol,Individual,Manual,Third Owner,13,439247,120000
Maruti Alto 800 LXI,2018,35000,Petrol,Dealer,Manual,First Owner,12.44,439337,305000
Hyundai Santro LS zipPlus,2003,60000,Petrol,Individual,Manual,First Owner,11.98,439383,100000
Maruti Alto LXi BSIII,2008,40000,Petrol,Individual,Manual,Second Owner,14.36,439890,130000
Renault KWID Climber 1.0 AMT BSIV,2017,7658,Petrol,Dealer,Automatic,First Owner,9.18,439948,350000
Tata Indigo LS,2008,90000,Diesel,Individual,Manual,First Owner,11.11,440124,105000
Hyundai Santro Xing GLS,2009,70000,Petrol,Individual,Manual,Fourth & Above Owner,9,440392,120000
Maruti Alto 800 LXI,2018,30000,Petrol,Dealer,Manual,First Owner,13,440423,285000
Hyundai EON D Lite Plus,2015,40903,Petrol,Dealer,Manual,First Owner,15,440450,235000
Maruti Alto 800 LXI,2015,46000,Petrol,Individual,Manual,Second Owner,12.42,441384,285000
Tata Indigo TDI,2009,120000,Diesel,Individual,Manual,Third Owner,9,441695,100000
Maruti Alto LX BSIII,2007,100000,Petrol,Individual,Manual,Second Owner,14.38,441820,125000
Tata Zest Revotron 1.2T XE,2016,15000,Petrol,Individual,Manual,First Owner,10,441939,380000
Maruti Eeco 5 Seater AC BSIV,2018,25000,Petrol,Individual,Manual,First Owner,14.5,441981,300000
Renault Scala Diesel RxL,2015,60000,Diesel,Dealer,Manual,First Owner,10,442197,370000
Maruti SX4 Vxi BSIV,2012,110000,Petrol,Individual,Manual,Second Owner,13,442440,225000
Honda City 1.3 DX,2003,165000,Petrol,Individual,Manual,Second Owner,10,442548,120000
Tata Indigo Grand Dicor,2014,120000,Diesel,Individual,Manual,First Owner,15,442756,225000
Tata Indica Vista Aqua TDI BSIII,2009,30000,Diesel,Individual,Manual,First Owner,10.58,442953,150000
Datsun RediGO 1.0 S,2017,15000,Petrol,Individual,Manual,First Owner,15,443038,250000
Volkswagen Polo Diesel Highline 1.2L,2012,77000,Diesel,Dealer,Manual,Third Owner,11,443070,335000
Hyundai Santro Xing XG AT,2006,90000,Petrol,Individual,Automatic,Second Owner,10.45,443129,160000
Honda City VX MT,2010,48781,Petrol,Dealer,Manual,First Owner,13,443382,350000
Toyota Qualis FS B3,2001,256000,Diesel,Dealer,Manual,First Owner,10.38,444101,150000
Honda City 1.5 GXI,2004,120000,Petrol,Individual,Manual,Second Owner,9,444204,125000
Ford Figo Petrol Titanium,2010,70000,Petrol,Individual,Manual,First Owner,11,444274,275000
Maruti Alto LXi,2009,50000,Petrol,Individual,Manual,Second Owner,14,444313,110000
Mahindra Xylo E8,2010,72000,Diesel,Individual,Manual,Second Owner,15,444456,380000
Maruti 800 AC BSIII,2005,20000,Petrol,Individual,Manual,Second Owner,12.01,444579,120000
Renault Duster 85PS Diesel RxL,2013,80000,Diesel,Individual,Manual,Second Owner,9,444613,385000
Hyundai Verna 1.6 SX CRDi (O),2011,90000,Diesel,Individual,Manual,First Owner,14,444822,390000
Mahindra Xylo E8 ABS Airbag BSIV,2011,160000,Diesel,Individual,Manual,First Owner,11,444880,275000
Hyundai Santro Xing XK (Non-AC),2007,50000,Petrol,Individual,Manual,First Owner,14,445084,100000
Maruti Alto LXi BSIII,2008,102000,Petrol,Dealer,Manual,First Owner,12.54,445127,125000
Hyundai EON Magna Plus,2018,30000,Petrol,Individual,Manual,First Owner,10,445379,229999
Maruti Zen LX,2004,79000,Petrol,Individual,Manual,Second Owner,10,445393,105000
Maruti Omni MPI STD BSIV,2018,10000,Petrol,Individual,Manual,First Owner,13,445574,200000
Toyota Etios Cross 1.4L GD,2015,80000,Diesel,Individual,Manual,Second Owner,12,445712,350000
Maruti Wagon R VXI BS IV,2014,38000,Petrol,Individual,Manual,Second Owner,9,445913,260000
Maruti Zen Estilo LXI BS IV,2009,120000,Petrol,Individual,Manual,First Owner,10,445917,140000
Renault KWID RXT,2017,50000,Petrol,Individual,Manual,First Owner,11,446112,280000
Maruti Alto 800 LXI,2019,50000,Petrol,Individual,Manual,First Owner,9,446451,300000
Maruti Alto K10 LXI CNG,2020,40000,CNG,Individual,Manual,First Owner,15,446630,282000
Maruti Celerio ZXI,2016,21000,Petrol,Dealer,Manual,First Owner,10,446792,434999
OpelCorsa 1.6Gls,2004,73000,Petrol,Individual,Manual,Fourth & Above Owner,10,446903,142000
Hyundai i20 Sportz 1.2,2013,50000,Petrol,Individual,Manual,Second Owner,9,447196,380000
Renault KWID RXT,2015,14365,Petrol,Dealer,Manual,First Owner,10,447196,275000
Chevrolet Beat Diesel LS,2012,100000,Diesel,Individual,Manual,Second Owner,12,447357,220000
Tata Indica Vista Quadrajet LS,2011,160000,Diesel,Individual,Manual,Second Owner,12,447418,229999
Ford Figo Diesel EXI,2012,80000,Diesel,Individual,Manual,Second Owner,13.1,447525,280000
Hyundai Xcent 1.2 Kappa SX,2016,12000,Petrol,Individual,Manual,First Owner,12,447769,350000
Chevrolet Spark 1.0 LS,2009,90000,Petrol,Individual,Manual,First Owner,14.65,447844,135000
Maruti SX4 Vxi BSIV,2012,110000,Petrol,Individual,Manual,Second Owner,11,448097,225000
Hyundai EON Era Plus,2017,20000,Petrol,Individual,Manual,First Owner,12.84,448280,290000
Maruti Omni BSIII 8-STR W/ IMMOBILISER,2008,50000,Petrol,Individual,Manual,Second Owner,10.03,448334,150000
Hyundai i10 Magna,2008,103921,Petrol,Individual,Manual,Second Owner,10,448378,140000
Maruti Swift Dzire VDi,2009,120000,Diesel,Individual,Manual,Second Owner,10,448467,150000
Chevrolet Beat LT Option,2016,41000,Petrol,Dealer,Manual,First Owner,12,448534,239000
Maruti Alto LX,2012,80000,Petrol,Individual,Manual,Second Owner,15,448605,220000
Tata New Safari DICOR 2.2 EX 4x2,2010,250000,Diesel,Individual,Manual,Second Owner,11.17,448697,300000
Honda City 1.5 V AT,2008,70000,Petrol,Individual,Automatic,First Owner,14.85,448725,140000
Maruti Alto LXi,2007,70000,Petrol,Individual,Manual,Second Owner,10,448967,100000
Hyundai EON Era Plus Option,2014,55000,Petrol,Dealer,Manual,First Owner,9.03,449173,265000
Maruti Wagon R LX Minor,2013,70000,Petrol,Individual,Manual,Fourth & Above Owner,12,449571,240000
Maruti A-Star Vxi,2009,76000,Petrol,Individual,Manual,Second Owner,10.67,450008,120000
Maruti Omni MPI STD BSIV,2012,90000,Petrol,Individual,Manual,First Owner,13.2,450093,250000
Hyundai Santro GS,2005,56580,Petrol,Dealer,Manual,First Owner,9.98,450300,80000
Maruti Alto K10 VXI,2017,31489,Petrol,Individual,Manual,First Owner,15,450337,300000
Maruti Wagon R VXI BS IV,2015,25000,Petrol,Individual,Manual,First Owner,14.49,450631,250000
Hyundai Santro Xing XG,2005,68500,Petrol,Dealer,Manual,First Owner,9.63,450645,70000
Honda Amaze EX i-Dtech,2015,40000,Diesel,Individual,Manual,Third Owner,12,450710,290000
Maruti Wagon R LXI,2001,117000,Petrol,Individual,Manual,Second Owner,9,450900,70000
Nissan Micra Diesel XV,2013,90000,Diesel,Individual,Manual,First Owner,13.56,451386,300000
Maruti 800 AC,2002,100000,Petrol,Individual,Manual,Second Owner,9,451689,65000
Mahindra Bolero DI,2004,120000,Diesel,Individual,Manual,Fourth & Above Owner,10,451795,110000
Maruti Swift Dzire VXi,2011,70000,Petrol,Individual,Manual,Second Owner,14.45,451897,254999
Mahindra Quanto C6,2013,110000,Diesel,Individual,Manual,First Owner,12.43,451949,220000
Hyundai EON Era Plus,2018,20000,Petrol,Individual,Manual,First Owner,9.98,452044,270000
Hyundai i10 Sportz 1.2,2010,110000,Petrol,Individual,Manual,Second Owner,12,452171,250000
Hyundai Verna XXi (Petrol),2007,84000,Petrol,Individual,Manual,Second Owner,13.73,452379,150000
Maruti 800 AC,2000,40000,Petrol,Individual,Manual,Third Owner,9,452409,60000
Maruti Alto 800 LXI,2006,132000,Petrol,Individual,Manual,First Owner,9,452757,165000
Mahindra Verito 1.5 D2 BSIII,2014,30000,Diesel,Individual,Manual,First Owner,14,452775,250000
Maruti Wagon R LXI Minor,2008,100000,Petrol,Individual,Manual,Second Owner,15,452787,110000
Maruti Wagon R LXI CNG,2016,30000,CNG,Individual,Manual,Second Owner,9,452859,350000
Maruti 800 Std,2003,54000,Petrol,Individual,Manual,First Owner,11,452872,98000
Maruti Wagon R LX BSIII,2009,70000,Petrol,Individual,Manual,Fourth & Above Owner,12.23,452951,130000
Maruti Zen D PS,2003,120000,Diesel,Individual,Manual,Third Owner,15,453069,110000
Maruti Alto 800 LXI,2018,17000,Petrol,Individual,Manual,First Owner,10,453219,300000
Maruti Alto LX BSIII,2007,125000,Petrol,Individual,,First Owner,9.92,453407,140000
Hyundai Accent GLE 1,1999,90000,Petrol,Individual,Manual,Fourth & Above Owner,10.13,453469,60000
Maruti Wagon R LX,2006,96000,Petrol,Individual,Manual,Second Owner,11,453724,75000
Hyundai Santro GS,2005,56580,Petrol,Dealer,Manual,First Owner,10.56,453812,80000
Chevrolet Optra 1.6,2006,79000,Petrol,Dealer,Manual,Fourth & Above Owner,15,453991,120000
Maruti Alto LXi,2007,100000,Petrol,Individual,Manual,Second Owner,13,454356,100000
Maruti Zen VXi - BS III,2004,80000,Petrol,Individual,Manual,First Owner,9,454439,79000
Hyundai Santro GLS I - Euro I,2005,60000,Petrol,Individual,Manual,First Owner,9.74,454641,75000
Volkswagen Polo Petrol Comfortline 1.2L,2013,100000,Petrol,Individual,Manual,First Owner,11,454665,400000
Hyundai i10 Magna,2012,40000,Petrol,Dealer,Manual,First Owner,11.48,454713,240000
Volkswagen CrossPolo 1.2 MPI,2016,110000,Petrol,Individual,Manual,First Owner,10.27,454736,350000
Maruti Ritz VXI,2009,80000,Petrol,Individual,Manual,First Owner,11.83,455370,150000
Maruti 800 AC,2007,60000,Petrol,Individual,Manual,Second Owner,12.68,455453,105000
Chevrolet Aveo U-VA 1.2 LT WO ABS Airbag,2009,38500,Petrol,Individual,Manual,Second Owner,14,455474,110000
Maruti Alto LX,2007,52000,Petrol,Individual,Manual,Second Owner,13,455803,100000
Tata Indica GLS BS IV,2009,120000,Petrol,Individual,Manual,Second Owner,10,455864,68000
Ford Figo Petrol Titanium,2014,43000,Petrol,Dealer,Manual,First Owner,12,456050,350000
Hyundai Santro Xing XL eRLX Euro III,2007,114000,Petrol,Individual,Manual,Second Owner,9,456117,75000
Maruti Wagon R LX BSIII,2007,110000,Petrol,Individual,Manual,First Owner,12,456305,100000
Maruti Omni 5 Str STD,1998,60000,Petrol,Dealer,Manual,Third Owner,11,456516,65000
Maruti Wagon R LXI DUO BSIII,2007,162000,LPG,Individual,Manual,First Owner,9.87,456612,70000
Maruti Alto LXi BSIII,2008,30000,Petrol,Individual,Manual,Second Owner,10.04,456713,105000
Volkswagen Vento 1.5 TDI Comfortline AT,2014,70000,Diesel,Individual,Automatic,First Owner,11,456772,325000
Maruti 800 AC Uniq,2009,30000,Petrol,Individual,Manual,Second Owner,12.01,456835,110000
